L,beta,n,eps_opt,gamma,random_state,Alg
150.0,2,54500,0.23,0.99,9610702,Ours
150.0,2,54500,0.17,0.99,9610702,Uniform
150.0,2,55500,0.23,0.99,9610702,Ours
150.0,2,55500,0.17,0.99,9610702,Uniform
150.0,2,56500,0.23,0.99,9610702,Ours
150.0,2,56500,0.17,0.99,9610702,Uniform
150.0,2,57500,0.23,0.99,9610702,Ours
150.0,2,57500,0.17,0.99,9610702,Uniform
150.0,2,58500,0.23,0.99,9610702,Ours
150.0,2,58500,0.17,0.99,9610702,Uniform
150.0,2,59500,0.23,0.99,9610702,Ours
150.0,2,59500,0.17,0.99,9610702,Uniform
150.0,2,60500,0.23,0.99,9610702,Ours
150.0,2,60500,0.17,0.99,9610702,Uniform
150.0,2,61500,0.23,0.99,9610702,Ours
150.0,2,61500,0.17,0.99,9610702,Uniform
150.0,2,62500,0.23,0.99,9610702,Ours
150.0,2,62500,0.17,0.99,9610702,Uniform
150.0,2,63500,0.23,0.99,9610702,Ours
150.0,2,63500,0.17,0.99,9610702,Uniform
150.0,2,64500,0.23,0.99,9610702,Ours
150.0,2,64500,0.17,0.99,9610702,Uniform
150.0,2,65500,0.23,0.99,9610702,Ours
150.0,2,65500,0.17,0.99,9610702,Uniform
150.0,2,66500,0.23,0.99,9610702,Ours
150.0,2,66500,0.17,0.99,9610702,Uniform
150.0,2,67500,0.23,0.99,9610702,Ours
150.0,2,67500,0.17,0.99,9610702,Uniform
150.0,2,68500,0.23,0.99,9610702,Ours
150.0,2,68500,0.17,0.99,9610702,Uniform
150.0,2,69500,0.23,0.99,9610702,Ours
150.0,2,69500,0.17,0.99,9610702,Uniform
150.0,2,70500,0.23,0.99,9610702,Ours
150.0,2,70500,0.17,0.99,9610702,Uniform
150.0,2,71500,0.23,0.99,9610702,Ours
150.0,2,71500,0.17,0.99,9610702,Uniform
150.0,2,72500,0.23,0.99,9610702,Ours
150.0,2,72500,0.17,0.99,9610702,Uniform
150.0,2,73500,0.23,0.99,9610702,Ours
150.0,2,73500,0.17,0.99,9610702,Uniform
150.0,2,74500,0.23,0.99,9610702,Ours
150.0,2,74500,0.17,0.99,9610702,Uniform
150.0,2,75500,0.23,0.99,9610702,Ours
150.0,2,75500,0.17,0.99,9610702,Uniform
150.0,2,76500,0.23,0.99,9610702,Ours
150.0,2,76500,0.17,0.99,9610702,Uniform
150.0,2,77500,0.23,0.99,9610702,Ours
150.0,2,77500,0.17,0.99,9610702,Uniform
150.0,2,78500,0.23,0.99,9610702,Ours
150.0,2,78500,0.17,0.99,9610702,Uniform
150.0,2,79500,0.23,0.99,9610702,Ours
150.0,2,79500,0.17,0.99,9610702,Uniform
150.0,2,500,0.22,0.99,362046530,Ours
150.0,2,500,0.46,0.99,362046530,Uniform
